Alter,Geschlecht,Anzahl
0,Frauen,2126
0,Maenner,2296
1,Frauen,2091
1,Maenner,2281
2,Frauen,2043
2,Maenner,2106
3,Frauen,1928
3,Maenner,1978
4,Frauen,1648
4,Maenner,1861
5,Frauen,1620
5,Maenner,1751
6,Frauen,1598
6,Maenner,1603
7,Frauen,1507
7,Maenner,1584
8,Frauen,1460
8,Maenner,1443
9,Frauen,1319
9,Maenner,1478
10,Frauen,1337
10,Maenner,1374
11,Frauen,1262
11,Maenner,1349
12,Frauen,1302
12,Maenner,1433
13,Frauen,1253
13,Maenner,1387
14,Frauen,1262
14,Maenner,1285
15,Frauen,1213
15,Maenner,1323
16,Frauen,1283
16,Maenner,1403
17,Frauen,1279
17,Maenner,1372
18,Frauen,1378
18,Maenner,1362
19,Frauen,1604
19,Maenner,1575
20,Frauen,1986
20,Maenner,1949
21,Frauen,2341
21,Maenner,2375
22,Frauen,2526
22,Maenner,2621
23,Frauen,2804
23,Maenner,2924
24,Frauen,3287
24,Maenner,3317
25,Frauen,3615
25,Maenner,3508
26,Frauen,3775
26,Maenner,3879
27,Frauen,4120
27,Maenner,3999
28,Frauen,4368
28,Maenner,4408
29,Frauen,4258
29,Maenner,4455
30,Frauen,4506
30,Maenner,4648
31,Frauen,4471
31,Maenner,4740
32,Frauen,4459
32,Maenner,4792
33,Frauen,4169
33,Maenner,4498
34,Frauen,3996
34,Maenner,4410
35,Frauen,3905
35,Maenner,4272
36,Frauen,3673
36,Maenner,4072
37,Frauen,3414
37,Maenner,3876
38,Frauen,3231
38,Maenner,3820
39,Frauen,3188
39,Maenner,3601
40,Frauen,2956
40,Maenner,3473
41,Frauen,2857
41,Maenner,3440
42,Frauen,2805
42,Maenner,3496
43,Frauen,2811
43,Maenner,3293
44,Frauen,2783
44,Maenner,3273
45,Frauen,2878
45,Maenner,3232
46,Frauen,2737
46,Maenner,3100
47,Frauen,2685
47,Maenner,2988
48,Frauen,2682
48,Maenner,3100
49,Frauen,2554
49,Maenner,2835
50,Frauen,2511
50,Maenner,2679
51,Frauen,2372
51,Maenner,2450
52,Frauen,2383
52,Maenner,2459
53,Frauen,2230
53,Maenner,2304
54,Frauen,2196
54,Maenner,2157
55,Frauen,2062
55,Maenner,2162
56,Frauen,2102
56,Maenner,2136
57,Frauen,2003
57,Maenner,1953
58,Frauen,1969
58,Maenner,1929
59,Frauen,1954
59,Maenner,1804
60,Frauen,1982
60,Maenner,1840
61,Frauen,1818
61,Maenner,1696
62,Frauen,1815
62,Maenner,1733
63,Frauen,1757
63,Maenner,1578
64,Frauen,1706
64,Maenner,1577
65,Frauen,1734
65,Maenner,1549
66,Frauen,1718
66,Maenner,1494
67,Frauen,1667
67,Maenner,1448
68,Frauen,1657
68,Maenner,1384
69,Frauen,1562
69,Maenner,1327
70,Frauen,1580
70,Maenner,1308
71,Frauen,1546
71,Maenner,1196
72,Frauen,1392
72,Maenner,1076
73,Frauen,1437
73,Maenner,1060
74,Frauen,1397
74,Maenner,959
75,Frauen,1399
75,Maenner,973
76,Frauen,1391
76,Maenner,1001
77,Frauen,1435
77,Maenner,897
78,Frauen,1353
78,Maenner,968
79,Frauen,1416
79,Maenner,830
80,Frauen,1360
80,Maenner,789
81,Frauen,1370
81,Maenner,780
82,Frauen,1382
82,Maenner,764
83,Frauen,1327
83,Maenner,682
84,Frauen,1248
84,Maenner,624
85,Frauen,1149
85,Maenner,586
86,Frauen,1083
86,Maenner,538
87,Frauen,1002
87,Maenner,464
88,Frauen,862
88,Maenner,397
89,Frauen,776
89,Maenner,327
90,Frauen,728
90,Maenner,283
91,Frauen,592
91,Maenner,213
92,Frauen,484
92,Maenner,171
93,Frauen,319
93,Maenner,110
94,Frauen,241
94,Maenner,72
95,Frauen,207
95,Maenner,50
96,Frauen,128
96,Maenner,43
97,Frauen,114
97,Maenner,28
98,Frauen,83
98,Maenner,16
99,Frauen,134
99,Maenner,24
